0.7,0.66,0.61,0.65
0.98,2.54,0.66,3.25
1.68,5.75,0.9,8.539999999999999
3.13,12.33,1.3,17.7
4.55,18.6,1.74,26.87
6.28,24.75,2.14,35.53
7.89,31.21,2.59,44.1
9.42,37.82,3.11,53.5
11.45,44.7,3.62,63.6
13.56,52.4,4.23,74.3
15.83,60.4,4.85,85.8
18.17,69,5.55,97.5
20.74,78,6.32,110.2
23.33,87.59999999999999,7.17,124.1
26.5,98.3,8.199999999999999,140
29.92,110.6,9.5,157.1
33.21,124,11.38,176.2
